Known As,Full Name,Overall,Latest Award,Value(in Euro),Positions Played,Best Position,Nationality,Image Link,Full Image,Age,Height(in cm),Weight(in kg),Club Name,Wage(in Euro),Release Clause,Club Position,Preferred Foot,National Team Name,National Team Image Link,National Team Position,National Team Jersey Number,Attacking Work Rate,Defensive Work Rate,Pace Total,Shooting Total,Passing Total,Penalties
P. Sequeira,Patrick Gilmar Sequeira,62,,675000,GK,GK,Costa Rica,https://cdn.sofifa.net/players/270/054/23_60.png,,23,190,84,CD Lugo,1000,1200000,SUB,Right,-,-,-,-,Medium,Medium,69,62,64,19
B. M'Bondo,Bradley M'Bondo,61,,675000,"CB,RB",CB,France,https://cdn.sofifa.net/players/259/145/23_60.png,,20,184,75,Chamois Niortais Football Club,900,1300000,SUB,Left,-,https://cdn.sofifa.net/flags/fr.png,-,-,Low,Medium,58,27,52,38
Pol Bassa,Pol Bassa Mora,61,,675000,LB,LB,Spain,https://cdn.sofifa.net/players/271/360/23_60.png,,19,170,65,Burgos CF,700,1200000,RES,Left,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,68,42,51,43
H. Ali,Hussein Ali,61,,675000,RWB,RWB,Sweden,https://cdn.sofifa.net/players/252/736/23_60.png,,20,180,65,SC Heerenveen,1000,1100000,SUB,Right,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,High,73,34,49,35
Biel Farrés,Biel Farrés del Castillo,61,,675000,CB,CB,Spain,https://cdn.sofifa.net/players/265/730/23_60.png,,20,183,78,Girona FC,3000,1600000,RES,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,High,60,33,48,48
P. Sánchez,Pedro Sánchez,61,,675000,"CF,CAM,LW",CAM,Chile,https://cdn.sofifa.net/players/234/499/23_60.png,,24,179,66,CD Everton de Viña del Mar,850,1000000,CAM,Right,-,https://cdn.sofifa.net/flags/cl.png,-,-,Medium,Medium,73,54,52,57
M. Breunig,Maximilian Breunig,61,,675000,"ST,CAM",ST,Germany,https://cdn.sofifa.net/players/243/537/23_60.png,,21,193,80,SC Freiburg II,800,1100000,SUB,Left,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,65,61,45,45
K. Matuszewski,Konrad Matuszewski,61,,675000,"LWB,LM",LWB,Poland,https://cdn.sofifa.net/players/263/509/23_60.png,,20,182,76,Warta Poznań,550,1000000,LM,Left,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,High,78,27,49,35
J. Romaña,Jhohan Romaña,61,,675000,CB,CB,Colombia,https://cdn.sofifa.net/players/233/814/23_60.png,,23,185,79,Austin FC,1000,1100000,SUB,Right,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,Medium,53,26,40,36
V. Garofalo,Vincenzo Garofalo,61,,675000,CM,CAM,Italy,https://cdn.sofifa.net/players/270/097/23_60.png,,22,184,80,Brescia,850,1200000,SUB,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,68,51,61,48
D. Rivas,Daniel Rivas,61,,675000,LB,LB,Paraguay,https://cdn.sofifa.net/players/253/713/23_60.png,,20,177,78,Club Cerro Porteño,500,1600000,SUB,Left,-,https://cdn.sofifa.net/flags/py.png,-,-,Medium,Medium,73,23,46,33
S. Abdulai,Sabit Abdulai,61,,675000,"CDM,CM,CB",CDM,Ghana,https://cdn.sofifa.net/players/254/230/23_60.png,,23,185,77,SD Ponferradina,4000,0,SUB,Right,-,https://cdn.sofifa.net/flags/gh.png,-,-,Medium,Medium,59,42,60,55
F. Waleed,Falah Waleed,61,,675000,CDM,CDM,United Arab Emirates,https://cdn.sofifa.net/players/252/423/23_60.png,,23,176,65,Al Ain FC,500,1600000,RES,Right,-,https://cdn.sofifa.net/flags/ae.png,-,-,Medium,Medium,67,44,52,43
E. Bristow,Ethan Bristow,61,,675000,"LB,LWB,LM",LB,England,https://cdn.sofifa.net/players/258/667/23_60.png,,20,188,68,Tranmere Rovers,2000,1300000,LWB,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Low,82,38,53,39
M. Skenderović,Meris Skenderović,61,,675000,ST,ST,Montenegro,https://cdn.sofifa.net/players/239/466/23_60.png,,24,182,71,TSV 1860 München,750,1100000,SUB,Left,-,-,-,-,Medium,Medium,67,60,47,55
N. Sauter,Niklas Sauter,61,,675000,GK,GK,Germany,https://cdn.sofifa.net/players/263/023/23_60.png,,19,183,79,SC Freiburg II,500,1100000,GK,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,64,58,56,14
B. Radulović,Bojan Radulović,61,,675000,ST,ST,Serbia,https://cdn.sofifa.net/players/243/831/23_60.png,,22,192,80,HJK Helsinki,500,1600000,SUB,Right,-,-,-,-,Medium,Low,61,60,47,50
Park Dae Won,Dae Won Park,61,,675000,"CB,LB",CB,Korea Republic,https://cdn.sofifa.net/players/252/277/23_60.png,,24,178,76,Suwon Samsung Bluewings,900,979000,SUB,Right,-,-,-,-,Medium,Medium,71,46,57,45
A. Pawlak,Aleksander Pawlak,61,,675000,"RB,RM",RB,Poland,https://cdn.sofifa.net/players/252/532/23_60.png,,20,178,70,Wisła Płock,800,1000000,RB,Right,-,https://cdn.sofifa.net/flags/pl.png,-,-,High,Medium,69,42,58,42
M. Mokrzycki,Michał Mokrzycki,61,,675000,CDM,CDM,Poland,https://cdn.sofifa.net/players/233/009/23_60.png,,24,182,75,Wisła Płock,950,1000000,SUB,Right,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,High,64,46,56,65
F. Valencia,Fredy Valencia,61,,675000,CDM,CB,Colombia,https://cdn.sofifa.net/players/258/865/23_60.png,,20,192,78,LASK Linz,3000,1100000,RES,Right,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,Medium,65,33,49,39
F. Herrera,Franco Herrera,61,,675000,GK,GK,Argentina,https://cdn.sofifa.net/players/267/575/23_60.png,,18,190,93,Newell's Old Boys,500,1400000,RES,Right,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,58,64,62,21
O. Erdogan,Okan Erdogan,61,,675000,"CB,CDM",CB,Germany,https://cdn.sofifa.net/players/250/927/23_60.png,,23,185,78,İstanbulspor,2000,1500000,CB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Low,Medium,60,35,49,32
Joseda,José David Menargues,61,,675000,"RB,CB",CDM,Spain,https://cdn.sofifa.net/players/264/237/23_60.png,,20,181,72,Valencia CF,3000,1600000,RES,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,55,48,56,41
S. Gussiås,Sivert Gussiås,61,,675000,ST,ST,Norway,https://cdn.sofifa.net/players/243/246/23_60.png,,22,183,82,Sandefjord Fotball,850,979000,SUB,Right,-,https://cdn.sofifa.net/flags/no.png,-,-,High,High,66,61,45,64
B. Nsimba,Bruny Nsimba,61,,675000,"ST,CF",RW,Belgium,https://cdn.sofifa.net/players/257/314/23_60.png,,22,181,78,Royal Antwerp FC,3000,1100000,RES,Right,-,https://cdn.sofifa.net/flags/be.png,-,-,High,Medium,89,60,53,54
D. Franchi,Denis Franchi,61,,675000,GK,GK,Italy,https://cdn.sofifa.net/players/261/892/23_60.png,,19,189,81,Burnley,2000,1400000,RES,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,62,60,59,15
D. Nlundulu,Dan Nlundulu,61,,675000,ST,ST,England,https://cdn.sofifa.net/players/236/321/23_60.png,,23,188,75,Cheltenham Town,8000,0,ST,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,Medium,62,59,46,61
J. Turi,Julian Turi,61,,675000,CB,CB,Austria,https://cdn.sofifa.net/players/263/050/23_60.png,,20,187,86,SV Ried,1000,1100000,RES,Right,-,https://cdn.sofifa.net/flags/at.png,-,-,Medium,Medium,56,33,42,38
S. Grubač,Sergej Grubač,61,,675000,ST,ST,Montenegro,https://cdn.sofifa.net/players/248/706/23_60.png,,22,190,80,AFC Chindia Târgoviște,1000,1000000,SUB,Right,-,-,-,-,Medium,Low,45,61,46,58
Nacho Martín,Ignacio Martín Gómez,61,,675000,CDM,CM,Spain,https://cdn.sofifa.net/players/264/838/23_60.png,,20,175,69,Real Sporting de Gijón,1000,1200000,RES,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,70,45,61,49
C. Timmins,Callum Timmins,61,,675000,"CM,CDM",CM,Australia,https://cdn.sofifa.net/players/242/056/23_60.png,,22,182,72,Newcastle Jets,550,979000,SUB,Right,-,https://cdn.sofifa.net/flags/au.png,-,-,High,High,70,59,58,49
S. Szota,Serafin Szota,61,,675000,CB,CB,Poland,https://cdn.sofifa.net/players/240/278/23_60.png,,23,186,80,Widzew Łódź,1000,1000000,SUB,Right,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,High,77,27,44,39
E. Pierozzi,Edoardo Pierozzi,61,,675000,"RB,RM",RB,Italy,https://cdn.sofifa.net/players/268/750/23_60.png,,20,182,70,Palermo,5000,0,SUB,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,73,40,49,45
Rafael Fernandes,Rafael Tavares Gomes Fernandes,61,,675000,CB,CB,Portugal,https://cdn.sofifa.net/players/271/317/23_60.png,,20,191,82,FC Arouca,950,1500000,RES,Right,-,https://cdn.sofifa.net/flags/pt.png,-,-,Low,High,63,37,49,48
E. Taborga,Enrique Taborga,61,,675000,"LB,LM",LB,Bolivia,https://cdn.sofifa.net/players/268/456/23_60.png,,20,178,66,Club Always Ready,500,1600000,SUB,Left,-,-,-,-,Medium,Medium,71,45,55,41
J. Manske,Johannes Manske,61,,675000,ST,ST,Germany,https://cdn.sofifa.net/players/270/042/23_60.png,,22,192,87,SV Meppen,600,1100000,SUB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,57,62,41,59
L. Casiani,Luis Casiani,61,,675000,RB,RB,Venezuela,https://cdn.sofifa.net/players/254/941/23_60.png,,20,181,73,Cerro Largo Fútbol Club,500,1600000,SUB,Right,-,https://cdn.sofifa.net/flags/ve.png,-,-,Medium,Medium,73,28,48,34
J. Tugbenyo,Jesse Tugbenyo,61,,675000,"CB,CDM,RB",CB,Germany,https://cdn.sofifa.net/players/259/194/23_60.png,,20,187,81,Sportclub Verl,2000,0,SUB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,High,67,32,53,32
A. Abqar,Abdelkabir Abqar,61,,675000,CB,CB,Morocco,https://cdn.sofifa.net/players/245/628/23_60.png,,23,188,80,Deportivo Alavés,2000,1200000,RES,Right,-,https://cdn.sofifa.net/flags/ma.png,-,-,Low,Medium,40,30,42,38
M. Maglica,Matej Maglica,61,,675000,CB,CB,Croatia,https://cdn.sofifa.net/players/265/465/23_60.png,,23,198,99,FC St. Gallen 1879,2000,1100000,SUB,Left,-,https://cdn.sofifa.net/flags/hr.png,-,-,Low,Medium,38,33,42,37
J. van Mullem,Jeremy van Mullem,61,,675000,"CDM,CM",CB,Netherlands,https://cdn.sofifa.net/players/261/370/23_60.png,,23,184,75,Sparta Rotterdam,2000,1100000,SUB,Right,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium,63,30,47,37
J. Marsiglia,Jorge Marsiglia,61,,675000,CB,CB,Colombia,https://cdn.sofifa.net/players/245/743/23_60.png,,23,183,77,Deportivo Cali,650,1100000,SUB,Left,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,High,75,31,48,42
S. Iyede,Samson Iyede,61,,675000,ST,ST,Nigeria,https://cdn.sofifa.net/players/269/556/23_60.png,,24,181,78,AC Horsens,2000,979000,ST,Right,-,-,-,-,High,Medium,87,56,46,51
A. Chrzanowski,Adam Chrzanowski,61,,675000,"CB,LB",CB,Poland,https://cdn.sofifa.net/players/230/646/23_60.png,,23,186,78,Wisła Płock,950,1000000,SUB,Left,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,Medium,72,39,39,37
S. Ogie,Shadrach Ogie,61,,675000,CB,CB,Republic of Ireland,https://cdn.sofifa.net/players/250/811/23_60.png,,20,183,78,Leyton Orient,2000,1300000,SUB,Left,-,-,-,-,High,High,75,36,47,35
E. Vidart,Emiliano Vidart,61,,675000,"CDM,CM",CM,Uruguay,https://cdn.sofifa.net/players/267/700/23_60.png,,20,182,75,Montevideo Wanderers,500,1600000,SUB,Right,-,https://cdn.sofifa.net/flags/uy.png,-,-,Medium,Low,65,60,63,55
Leandro Fernandes,Leandro Fernandes da Cunha,61,,675000,CM,CAM,Netherlands,https://cdn.sofifa.net/players/253/123/23_60.png,,22,176,72,FK Jerv,750,979000,CM,Right,-,https://cdn.sofifa.net/flags/nl.png,-,-,Medium,Medium,71,52,60,54
J. Isaksen,Jesper Isaksen,61,,675000,"CM,CDM",CM,Norway,https://cdn.sofifa.net/players/239/006/23_60.png,,22,183,73,Kristiansund BK,750,979000,CM,Right,-,https://cdn.sofifa.net/flags/no.png,-,-,Medium,Medium,69,50,60,48
L. Hall,Lewis Hall,60,,675000,"CM,LWB,LB",CAM,England,https://cdn.sofifa.net/players/266/127/23_60.png,,17,180,72,Chelsea,2000,1900000,RES,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,66,49,62,55
A. Foti,Antonio Foti,60,,675000,"CM,RW,CAM",CAM,Cyprus,https://cdn.sofifa.net/players/266/392/23_60.png,,18,180,74,Hannover 96,1000,0,SUB,Right,-,-,-,-,High,Medium,68,59,57,52
S. Castro,Santiago Castro,60,,675000,ST,ST,Argentina,https://cdn.sofifa.net/players/267/861/23_60.png,,17,178,76,Vélez Sarsfield,550,1700000,RES,Right,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,62,60,44,70
O. Fraulo,Oscar Luigi Fraulo,60,,675000,CM,CAM,Denmark,https://cdn.sofifa.net/players/265/518/23_60.png,,18,180,77,Borussia Mönchengladbach,1000,1800000,SUB,Right,-,https://cdn.sofifa.net/flags/dk.png,-,-,Medium,Medium,75,54,58,45
Berna,Bernardo Silva Conceição,60,,675000,CM,LM,Portugal,https://cdn.sofifa.net/players/271/284/23_60.png,,18,173,72,Boavista FC,850,2100000,RES,Left,-,https://cdn.sofifa.net/flags/pt.png,-,-,Medium,Medium,72,49,61,55
C. Wiley,Caleb Wiley,59,,675000,"LWB,LM",LWB,United States,https://cdn.sofifa.net/players/266/605/23_60.png,,17,178,73,Atlanta United,500,1700000,SUB,Left,-,https://cdn.sofifa.net/flags/us.png,-,-,Medium,Medium,76,23,41,40
Mario Suárez,Mario Suárez Mata,72,,650000,"CDM,CM,CB",CDM,Spain,https://cdn.sofifa.net/players/171/018/23_60.png,,35,188,80,Rayo Vallecano,10000,1400000,SUB,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,High,36,65,70,59
Xavi Torres,Xavier Torres Buigues,72,,650000,"CDM,CB",CDM,Spain,https://cdn.sofifa.net/players/179/528/23_60.png,,35,179,82,CD Lugo,5000,1000000,CDM,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,High,59,60,69,66
J. Howson,Jonny Howson,71,,650000,"CDM,CM",CDM,England,https://cdn.sofifa.net/players/183/422/23_60.png,,34,180,77,Middlesbrough,17000,1200000,CDM,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Medium,High,54,68,67,63
Claudemir,Claudemir Domingues de Souza,71,,650000,"CDM,CM",CDM,Brazil,https://cdn.sofifa.net/players/186/935/23_60.png,,34,185,72,FC Vizela,4000,1400000,SUB,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Low,Medium,50,66,70,60
Ó. Cardozo,Óscar Cardozo,71,,650000,ST,ST,Paraguay,https://cdn.sofifa.net/players/179/752/23_60.png,,39,193,87,Club Libertad,500,1400000,SUB,Left,-,https://cdn.sofifa.net/flags/py.png,-,-,Medium,Low,41,76,63,75
S. Rieks,Søren Rieks,70,,650000,"LW,LWB",LW,Denmark,https://cdn.sofifa.net/players/179/633/23_60.png,,35,185,76,Malmö FF,4000,845000,LW,Right,-,https://cdn.sofifa.net/flags/dk.png,-,-,Medium,High,70,70,67,62
A. Adomah,Albert Adomah,69,,650000,"RM,RWB",RM,Ghana,https://cdn.sofifa.net/players/186/783/23_60.png,,34,185,74,Queens Park Rangers,16000,1200000,SUB,Right,-,https://cdn.sofifa.net/flags/gh.png,-,-,Medium,High,72,65,66,68
C. Noone,Craig Noone,69,,650000,"RM,LM,RWB",RM,England,https://cdn.sofifa.net/players/189/885/23_60.png,,34,177,69,Macarthur FC,3000,813000,RWB,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,70,64,68,61
Weilson Leal,Weilson Emílio Leal Cintra,69,,650000,"LM,CAM",LM,Brazil,https://cdn.sofifa.net/players/230/396/23_60.png,,34,181,74,Cuiabá,8000,1200000,SUB,Left,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,75,68,64,61
P. Mouche,Pablo Mouche,69,,650000,"RM,LM,ST",RM,Argentina,https://cdn.sofifa.net/players/172/019/23_60.png,,34,177,72,Barracas Central,6000,943000,SUB,Left,-,https://cdn.sofifa.net/flags/ar.png,-,-,High,Low,73,66,69,47
Tan Long,Long Tan,69,,650000,"RW,LW,ST",ST,China PR,https://cdn.sofifa.net/players/202/855/23_60.png,,34,185,77,Changchun Yatai FC,6000,1000000,RW,Right,China PR,-,RW,11,Medium,Medium,76,68,61,66
F. Cerro,Francisco Cerro,69,,650000,"CM,CDM",CDM,Argentina,https://cdn.sofifa.net/players/215/177/23_60.png,,34,179,75,Club Atlético Aldosivi,6000,943000,SUB,Right,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,High,65,60,65,49
Charles de Breito,Charles Dênis de Breito Catarino,69,,650000,"CM,CDM",CDM,Brazil,https://cdn.sofifa.net/players/230/226/23_60.png,,34,170,68,Cuiabá,8000,1200000,CM,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,72,53,68,45
Lee Seung Gi,Seung Gi Lee,69,,650000,"CM,RM,CAM",CAM,Korea Republic,https://cdn.sofifa.net/players/202/305/23_60.png,,34,177,67,Jeonbuk Hyundai Motors,6000,845000,SUB,Right,-,-,-,-,High,Medium,66,66,71,66
A. Seculin,Andrea Seculin,68,,650000,GK,GK,Italy,https://cdn.sofifa.net/players/197/689/23_60.png,,31,190,83,Modena,1000,1000000,SUB,Right,-,https://cdn.sofifa.net/flags/it.png,-,-,Medium,Medium,70,62,54,23
A. Letellier,Alexandre Letellier,68,,650000,GK,GK,France,https://cdn.sofifa.net/players/199/574/23_60.png,,31,193,93,Paris Saint-Germain,18000,1200000,RES,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,67,66,60,20
C. Maxwell,Chris Maxwell,68,,650000,GK,GK,Wales,https://cdn.sofifa.net/players/209/333/23_60.png,,31,185,74,Blackpool,5000,1200000,SUB,Right,-,https://cdn.sofifa.net/flags/gb-wls.png,-,-,Medium,Medium,69,66,68,20
M. Schäffler,Manuel Schäffler,67,,650000,ST,ST,Germany,https://cdn.sofifa.net/players/189/607/23_60.png,,33,189,89,SG Dynamo Dresden,4000,943000,SUB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,45,70,49,65
S. Al Khaibari,Sami Al Khaibari,67,,650000,CB,CB,Saudi Arabia,https://cdn.sofifa.net/players/238/902/23_60.png,,32,185,75,Al Fayha,8000,1100000,CB,Right,-,https://cdn.sofifa.net/flags/sa.png,-,-,Low,High,55,27,43,43
Erico,Erico C. da Silva,67,,650000,CB,CB,Brazil,https://cdn.sofifa.net/players/248/092/23_60.png,,32,186,81,AFC UTA Arad,3000,878000,CB,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,66,32,41,42
D. Carando,Danilo Carando,67,,650000,ST,ST,Argentina,https://cdn.sofifa.net/players/235/848/23_60.png,,33,181,78,Cienciano,500,1400000,ST,Right,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,61,70,52,75
P. Papp,Paul Papp,67,,650000,"CB,RB",CB,Romania,https://cdn.sofifa.net/players/204/211/23_60.png,,32,188,80,Universitatea Craiova,5000,878000,CB,Right,-,https://cdn.sofifa.net/flags/ro.png,-,-,Medium,Medium,57,50,56,51
P. Hanlon,Paul Hanlon,67,,650000,CB,CB,Scotland,https://cdn.sofifa.net/players/189/110/23_60.png,,32,180,70,Hibernian,3000,1100000,CB,Left,-,https://cdn.sofifa.net/flags/gb-sct.png,-,-,Medium,High,57,36,57,53
M. Beevers,Mark Beevers,67,,650000,CB,CB,England,https://cdn.sofifa.net/players/182/209/23_60.png,,32,193,80,Perth Glory,2000,813000,CB,Left,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,Low,High,50,41,47,44
C. Mac-Intosch,Calvin Mac-Intosch,67,,650000,CB,CB,Suriname,https://cdn.sofifa.net/players/223/687/23_60.png,,32,181,78,SC Cambuur,3000,943000,SUB,Right,-,-,-,-,Medium,High,71,38,52,41
L. Hallenius,Linus Hallenius,67,,650000,ST,ST,Sweden,https://cdn.sofifa.net/players/187/334/23_60.png,,33,185,75,GIF Sundsvall,2000,813000,SUB,Right,-,https://cdn.sofifa.net/flags/se.png,-,-,Medium,Medium,71,67,54,57
I. Antón,Irwin Antón,67,,650000,"ST,CF",ST,Venezuela,https://cdn.sofifa.net/players/253/913/23_60.png,,33,180,85,Metropolitanos de Caracas FC,500,1400000,SUB,Right,-,https://cdn.sofifa.net/flags/ve.png,-,-,High,Low,58,69,62,70
A. Al Bulayhi,Ali Al Bulayhi,67,,650000,CB,CB,Saudi Arabia,https://cdn.sofifa.net/players/229/851/23_60.png,,32,181,77,Al Hilal,11000,1100000,CB,Left,-,https://cdn.sofifa.net/flags/sa.png,-,-,Medium,High,46,37,38,45
M. Baudry,Marvin Baudry,67,,650000,CB,CB,Congo,https://cdn.sofifa.net/players/206/440/23_60.png,,32,187,85,Stade Lavallois Mayenne FC,2000,1100000,CB,Right,-,-,-,-,Medium,Medium,42,24,48,38
S. Kutschke,Stefan Kutschke,67,,650000,ST,ST,Germany,https://cdn.sofifa.net/players/216/377/23_60.png,,33,194,95,SG Dynamo Dresden,4000,943000,ST,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,Medium,58,67,45,66
A. Galabinov,Andrey Galabinov,67,,650000,ST,ST,Bulgaria,https://cdn.sofifa.net/players/203/327/23_60.png,,33,192,88,Urbs Reggina 1914,1000,1000000,SUB,Right,-,-,-,-,Low,Low,33,71,57,64
L. Gregory,Lee Gregory,67,,650000,ST,ST,England,https://cdn.sofifa.net/players/223/551/23_60.png,,33,188,80,Sheffield Wednesday,6000,1100000,ST,Right,-,https://cdn.sofifa.net/flags/gb-eng.png,-,-,High,Medium,51,67,56,70
T. Rogne,Thomas Rogne,67,,650000,CB,CB,Norway,https://cdn.sofifa.net/players/185/316/23_60.png,,32,193,82,Helsingborgs IF,1000,813000,CB,Right,-,https://cdn.sofifa.net/flags/no.png,-,-,Low,Medium,48,32,51,40
R. McGowan,Ryan McGowan,67,,650000,CB,CB,Australia,https://cdn.sofifa.net/players/190/180/23_60.png,,32,191,75,St. Johnstone FC,3000,1100000,CB,Right,-,https://cdn.sofifa.net/flags/au.png,-,-,Medium,High,64,48,56,58
D. Lachman,Darryl Lachman,67,,650000,CB,CB,Curacao,https://cdn.sofifa.net/players/198/135/23_60.png,,32,189,75,Perth Glory,2000,813000,CB,Right,-,-,-,-,High,Medium,70,43,54,44
P. Barrios,Pier Barrios,67,,650000,"CB,RB",CB,Argentina,https://cdn.sofifa.net/players/199/435/23_60.png,,32,180,82,Godoy Cruz,4000,975000,RB,Right,-,https://cdn.sofifa.net/flags/ar.png,-,-,Medium,Medium,64,44,56,41
Ratón,Álvaro López Ratón,66,,650000,GK,GK,Spain,https://cdn.sofifa.net/players/234/994/23_60.png,,29,192,84,Real Zaragoza,3000,1100000,SUB,Left,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,66,64,63,15
A. Sauvage,Alexis Sauvage,66,,650000,GK,GK,France,https://cdn.sofifa.net/players/204/034/23_60.png,,30,186,82,Stade Lavallois Mayenne FC,1000,1200000,GK,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,69,67,63,23
G. Viscarra,Guillermo Viscarra,66,,650000,GK,GK,Bolivia,https://cdn.sofifa.net/players/236/241/23_60.png,,29,190,80,Club The Strongest,500,1400000,GK,Right,-,-,-,-,Medium,Medium,66,64,60,17
Neto Volpi,Alvino Volpi Neto,66,,650000,GK,GK,Brazil,https://cdn.sofifa.net/players/207/899/23_60.png,,29,189,93,Club Atlético Peñarol,500,1400000,SUB,Right,-,https://cdn.sofifa.net/flags/br.png,-,-,Medium,Medium,66,63,75,32
A. Torralvo,Amaury Torralvo,65,,650000,"LB,LM,LWB",LB,Colombia,https://cdn.sofifa.net/players/221/961/23_60.png,,28,173,70,La Equidad,600,878000,SUB,Left,-,https://cdn.sofifa.net/flags/co.png,-,-,Medium,Medium,80,40,59,48
M. Ballmert,Markus Ballmert,65,,650000,RB,RB,Germany,https://cdn.sofifa.net/players/223/369/23_60.png,,28,173,68,SV Meppen,900,943000,RB,Right,-,https://cdn.sofifa.net/flags/de.png,-,-,Medium,High,69,38,50,39
Israel Puerto,Israel Puerto Pineda,65,,650000,CB,CB,Spain,https://cdn.sofifa.net/players/211/315/23_60.png,,29,187,75,Jagiellonia Białystok,3000,926000,CB,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Low,Medium,57,31,50,50
C. Martínez,Carlos Julio Martínez,65,,650000,"RB,LB",RB,Dominican Republic,https://cdn.sofifa.net/players/251/975/23_60.png,,28,170,73,Miedź Legnica,1000,878000,RB,Right,-,-,-,-,Medium,Medium,68,39,54,50
D. Stec,David Stec,65,,650000,RB,RB,Austria,https://cdn.sofifa.net/players/234/651/23_60.png,,28,178,72,Lechia Gdańsk,3000,878000,SUB,Right,-,https://cdn.sofifa.net/flags/at.png,-,-,High,Medium,76,48,56,40
E. Salles,Esteban Salles,65,,650000,GK,GK,France,https://cdn.sofifa.net/players/222/820/23_60.png,,28,187,78,Grenoble Foot 38,2000,1200000,SUB,Right,-,https://cdn.sofifa.net/flags/fr.png,-,-,Medium,Medium,66,63,62,15
Raúl Navarro,Raúl Navarro del Río,65,,650000,"RB,RWB,RM",RB,Spain,https://cdn.sofifa.net/players/234/784/23_60.png,,28,174,66,Burgos CF,2000,1000000,RB,Right,-,https://cdn.sofifa.net/flags/es.png,-,-,Medium,Medium,64,56,63,56
S. Mrowca,Sebastian Mrowca,65,,650000,"RB,CB",RB,Poland,https://cdn.sofifa.net/players/216/288/23_60.png,,28,177,79,SV Wehen Wiesbaden,2000,943000,CB,Right,-,https://cdn.sofifa.net/flags/pl.png,-,-,Medium,Medium,72,47,58,50
